         494973 function calls (486978 primitive calls) in 1.116 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:3267(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:330(Bunch)
        1    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3397(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3404(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:3411(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3444(Scale)
        1    0.000    0.000    0.000    0.000 __init__.py:3483(Scrollbar)
        3    0.000    0.000    0.000    0.000 __init__.py:35(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:3533(Text)
        1    0.000    0.000    0.000    0.000 __init__.py:367(_FuncPtr)
      202    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:3937(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3951(OptionMenu)
        1    0.000    0.000    0.000    0.000 __init__.py:396(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:3990(Image)
        1    0.000    0.000    0.002    0.002 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:4056(PhotoImage)
        1    0.000    0.000    0.000    0.000 __init__.py:4140(BitmapImage)
        1    0.000    0.000    0.000    0.000 __init__.py:4160(Spinbox)
        1    0.000    0.000    0.002    0.002 __init__.py:417(PercentStyle)
        3    0.000    0.000    0.000    0.000 __init__.py:42(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:424(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:430(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:4338(LabelFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:436(LibraryLoader)
        1    0.000    0.000    0.000    0.000 __init__.py:4362(PanedWindow)
        2    0.000    0.000    0.000    0.000 __init__.py:437(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:475(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:475(checkdep_ps_distiller)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:499(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:501(StringVar)
        1    0.000    0.000    0.000    0.000 __init__.py:513(get_home)
        1    0.000    0.000    0.000    0.000 __init__.py:514(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:525(IntVar)
        1    0.000    0.000    0.000    0.000 __init__.py:530(GetRealpathAndStat)
        1    0.000    0.000    0.000    0.000 __init__.py:536(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:548(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:550(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:559(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:560(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:571(BooleanVar)
        1    0.000    0.000    0.000    0.000 __init__.py:583(get_configdir)
        1    0.000    0.000    0.000    0.000 __init__.py:6(ProjectionRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:603(get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:614(_get_data_path)
